region,office,search,address,phone1,phone2
ঢাকা শহর,সেন্ট্রাল শর্টিং সেন্টার,central sorting center,"বেড়ীবাধ মেইনরোড, হাজারীবাগ, ঢাকা-১২০৯",01733-384883,01733-384852
ঢাকা শহর,হাজারীবাগ অফিস,hajaribag,"প্লট নং-৭১৬, ৭১৯, ৭২২, বেড়ীবাধ মেইনরোড হাজারীবাগ, ঢাকা-১২০৯",01733-385176,01733-385026
ঢাকা শহর,মোহাম্মদপুর অফিস,mohammadpur,"হাউজ নং-৩, বেড়ীবাধ মেইন রোড, (লিমিটেড ৬নং রোডের শেষ মাথায়) চাঁদ উদ্যান, মোহাম্মদপুর, ঢাকা-১২০৭",01733-385177,01733-384806
ঢাকা শহর,ধানমন্ডি অফিস,dhanmondi,"দোকান হোল্ডিং নং-১৬৫, সাত্তার ম্যানশন লেক সার্কাস মিরপুর রোড, কলাবাগান, ধানমন্ডি, ঢাকা-১২০৫",01958-587814,01958-587815
ঢাকা শহর,শ্যামলী অফিস,shamoli,"২৪/১২, খিলজী রোড, মোহাম্মদপুর, ঢাকা-১২০৭",01733-384850,01733-384893
ঢাকা শহর,কাওরান বাজার অফিস,karwan bazar,"বাংলাদেশ মৎস উন্নয়ন কর্পোরেশন ও ওয়াসা ভবনের বিপরীতে কাওরান বাজার, তেজগাঁও, ঢাকা-১২১৫",01733-384864,01733-384866
ঢাকা শহর,মহাখালী অফিস,mohakhali,"হাজী শাহাবুদ্দিন শপিং কমপ্লেক্স, ৫২ তাজউদ্দিন সরণি মহাখালী, ঢাকা।",01733-385196,01733-385195
ঢাকা শহর,চাঁনখারপুল অফিস,chankharpul,"৭৯/২, হোসেনী দালান রোড, চাঁনখারপুল, ঢাকা।",01958-587478,01958-587479
ঢাকা শহর,মালিটোলা অফিস,malitola,"২৪/১, মালিটোলা লেন, নর্থ সাউথ রোড, ঢাকা।",01733-385044,01733-385043
ঢাকা শহর,বাংলাবাজার অফিস,banglabazar,"৩৪/১ নর্থব্রুক হল রোড, মাদ্রাসা মার্কেট বাংলাবাজার, ঢাকা।",01733-385123,01733-385164
ঢাকা শহর,চকবাজার অফিস,chokbazar,"১৬/বি, ১, ৩ ও ৪ নং দোকান, ছোট কাটরা মদিনা চাঁন সরদার কোল্ড স্টোরেজ এর নীচে, চকবাজার, ঢাকা।",01733-385023,01733-385024
ঢাকা শহর,মতিঝিল অফিস,motizhil,"মনির ম্যানশন, ১৮, দিলকুশা বাণিজ্যিক এলাকা (কৃষি ভবনের বিপরীতে), মতিঝিল, ঢাকা।",01958-587385,01958-587386
ঢাকা শহর,বনশ্রী অফিস,banasree,"এম ব্লক, মেইন রোড, বাগানবাড়ি, এইচপিএস পেট্রোল পাম্পের বিপরীতে, বনশ্রী।",01958-587677,01958-587678
ঢাকা শহর,মাজার রোড অফিস,majar road,"২য় কলোনী, তালুকদার স-মিলের পাশে মিরপুর-১, মাজার রোড।",01958-587679,01958-587680
ঢাকা শহর,মালিবাগ অফিস,malibag,"৩৬/বি মালিবাগ চৌধুরীপাড়া, ঢাকা।",01733-385193,01733-385194
ঢাকা শহর,গুলিস্তান অফিস,gulistan,"দোকান নং-এস-২৩, আন্ডারগ্রাউন্ড, গুলিস্তান হল মার্কেট, ঢাকা।",01733-385127,01733-385128
ঢাকা শহর,মিরপুর অফিস-১১,mirpur 11,"হাউজ নং-৪১০-৪১১, সেকশন-৭, মিরপুর বাংলা বালিকা উচ্চ বিদ্যালয়ের পার্শ্বে, মিরপুর, ঢাকা।",01733-384843,01733-384844
ঢাকা শহর,মিরপুর অফিস-১০,mirpur 10,"৮৯ নং ম্যাগনোলিয়া বিল্ডিং, ফলপট্টি রোড মিরপুর-১০, ঢাকা।",01733-385065,01733-385066
ঢাকা শহর,বিজয় নগর (পল্টন) অফিস,bijoy nagar paltan,"১৬৯/২, শহীদ সৈয়দ নজরুল ইসলাম স্মরণী, শাহেনশাহ কমপ্লেক্স, পুরান পল্টন, ঢাকা।",01733-384837,01733-384838
ঢাকা শহর,এ্যালিফ্যান্ট রোড অফিস,elephant road,"৩৪৭, শহীদ জাহানারা ইমাম স্মরণী, এ্যালিফ্যান্ট রোড, ঢাকা।",01733-385090,01733-385089
ঢাকা শহর,উত্তরা অফিস,uttara,"বাসা#২, আলাউল এভিনিউ, সেক্টর#৬, হাউজ বিল্ডিং (উত্তরা ইউনিভার্সিটির পার্শ্বে), উত্তরা, ঢাকা।",01733-385104,01733-385105
ঢাকা শহর,বাংলা মটর অফিস,bangla motor,"দোকান নং-১, ওরিয়‍্যান্টাল বংশাল মটর পার্টস এসি মার্কেট, ১/১ এ, নিউ ইস্কাটন রোড, রমনা, ঢাকা।",01733-384923,01733-384879
ঢাকা শহর,যাত্রাবাড়ী অফিস,jatrabari,"৩৪০/এ, সিফাত ফিলিং স্টেশন সংলগ্ন, দক্ষিণ যাত্রাবাড়ী, ঢাকা।",01733-385145,01733-385146
ঢাকা শহর,নতুন বাজার অফিস,notun bazar,"পট নং- ৯৩৬১, (ফারাজী হাসপাতালের কাছে) মাদানী এভিনিউ, নতুন বাজার, ভাটারা, ঢাকা।",01958-587409,01958-587410
ঢাকা শহর,দিয়াবাড়ী অফিস,diyabari,"খালপাড়, বি আর টি এ অফিসের মাঝামাঝি, বাজাজ অটোমোবাইলের পাশে, দিয়াবাড়ী, উত্তরা।",01958-587507,01958-587508
ঢাকা শহর,বাবুবাজার অফিস,babubazar,"১১ নং জুমরাইল লেন, বাবুবাজার, ঢাকা।",01958-587537,01958-587538
ঢাকা বিভাগ,কেরাণীগঞ্জ অফিস,keraniganj,"হাতেম আলী ভিলা, বেড়িবাধ রোড, কেরাণীগঞ্জ, ঢাকা।",01733-385036,01733-385013
ঢাকা বিভাগ,সাভার অফিস,savar,"এ ১/৪ মজিদপুর, পাকিজা টেক্সটাইল এর দক্ষিণ পার্শ্বে সাভার, ঢাকা।",01733-385110,01733-385111
ঢাকা বিভাগ,হেমায়েতপুর অফিস,hemayetpur,"সিংগাইর হাইওয়ে রোেড, ইউনিক হাসপাতালের পাশে, ম্যাক্স কম ইন্টারন্যাশনাল বিডি লিঃ এর বিপরীত পার্শ্বে, হেমায়েতপুর।",01958-587667,01958-587668
ঢাকা বিভাগ,বাইপাইল অফিস,baipail,"ই পি জেড রোড, নূসরাত ভিলা, আশুলিয়া থানার দক্ষিণ পার্শ্বে, বাইপাইল ।",01733-385106,01733-385107
ঢাকা বিভাগ,টঙ্গী অফিস,tongi,"বাটা পুরাতন শোরুমের বিপরীতে, সিএনজি পাম্পের সাথে, টঙ্গী।",01733-385108,01733-385131
ঢাকা বিভাগ,কোনাবাড়ি অফিস,konabari,"আঞ্জুম পাম্পের উত্তর পার্শ্বে, কোনাবাড়ি, গাজীপুর।",01733-385120,01733-385166
ঢাকা বিভাগ,গাজীপুর অফিস,gazipur,"ওবেসা গার্মেন্টসের বিপরীতে, জয়দেবপুর রোড, নলজানি, চান্দনা চৌরাস্তা, গাজীপুর।",01733-385055,01733-385150
ঢাকা বিভাগ,মাওনা অফিস,maona,"১৭৬ মাওনা চৌরাস্তা, ঢাকা ময়মনসিংহ মহাসড়ক ফ্লাই ওভারের দক্ষিণ পার্শ্বে।",01733-385151,01733-385152
ঢাকা বিভাগ,মুন্সিগঞ্জ অফিস,munsiganj,"সদর হাসপাতাল রোড, মানিকপুর, ডক্টরস ক্লিনিকের পূর্ব পার্শ্বে, মুন্সিগঞ্জ।",01733-385168,01733-384836
ঢাকা বিভাগ,ভুলতা (রূপগঞ্জ) অফিস,vulta rupganj,"দোকান নং-১২৩২, ১২৯১, গাউছিয়া সিটি মার্কেট ভুলতা, রূপগঞ্জ, নারায়ণগঞ্জ।",01958-587253,01958-587254
ঢাকা বিভাগ,সিদ্ধিরগঞ্জ (চিটাগাং রোড) অফিস,siddhirganj chittagong,"১০ তলা বিল্ডিংয়ের পশ্চিম পাশে, আল আমিন গার্মেন্টসের বিপরীত পাশে, চিটাগং রোড, নারায়নগঞ্জ।",01733-384977,01733-384978
ঢাকা বিভাগ,নারায়ণগঞ্জ অফিস,narayonganj,"দোকান নং-৩১৫, ৩১৬, ৩১৭, ৩১৮ চাঁন মাড়ি আর্মি মার্কেট, চাষাড়া, নারায়ণগঞ্জ।",01733-385060,01733-385059
ঢাকা বিভাগ,সোনারগাঁও অফিস,sonargaon,"আফিয়া সি.এন.জি পাম্পের পাশে, মোগরাপাড়া চৌরাস্তা সোনারগাও, নারায়ণগঞ্জ।",01958-587673,01958-587674
ঢাকা বিভাগ,নরসিংদী অফিস,norsindi,"১/১ লতিফ ভূইয়ার বাড়ি, জে পি আর ফার্নিচারের বাম পাশের বাড়ি, সি এন্ড বি রোড, নরসিংদী।",01733-385141,01733-385183
ঢাকা বিভাগ,বাবুরহাট অফিস,baburhat,"মাইক্রোট্রেড সেন্টার, দোকান নং-৪৪, ৪৫, শেখেরচর, বাবুরহাট, নরসিংদী।",01733-384808,01733-384862
ঢাকা বিভাগ,ভৈরব অফিস,voirob,"কমলপুর মোল্লাবাড়ি, হলিটাচ হাসপাতাল সংলগ্ন, ভৈরব।",01733-384823,01733-384824
ঢাকা বিভাগ,কিশোরগঞ্জ অফিস,kishorganj,"নিউ টাউন স্টেশন রোড, সেন্ট্রাল হসপিটালের সামনে, কিশোরগঞ্জ।",01733-385160,01733-385165
ঢাকা বিভাগ,মানিকগঞ্জ অফিস,manikganj,"আকতার প্লাজা, বেলায়েত হোসেন রোড, পৌড়রা, মানিকগঞ্জ।",01733-385063,01733-385064
ঢাকা বিভাগ,টাঙ্গাইল অফিস,tangail,"হোল্ডিং#০৪০৮০০, উত্তর আদালতপাড়া, ঢাকা রোড, সেবা চক্ষু হাসপাতালের বিপরীতে, টাঙ্গাইল।",01733-384899,01733-385139
ঢাকা বিভাগ,টেকেরহাট অফিস,tekerhat,"নেসার উদ্দিন মার্কেট এর নিচতলা, মাদারীপুর।",01733-385053,01733-385054
ঢাকা বিভাগ,ফরিদপুর অফিস,faridpur,"নবাব আলী টাওয়ার, ইসলামি ব্যাংক হাসপাতালের, সামনে, আলীপুর, ফরিদপুর।",01733-384855,01733-384854
ঢাকা বিভাগ,ভাঙ্গা অফিস,vanga,"ভাঙ্গা সরকারী হাসপাতালের পূর্ব পার্শ্বে, নিউ সেবা ডায়াগনস্টিক সেন্টার এর বিপরীতে, কাপুড়িয়া, সদরদী, ভাঙ্গা।",01958-587499,01958-587500
ঢাকা বিভাগ,গোপালগঞ্জ অফিস,gopalganj,"হোল্ডিং নং- ৮১৪/৩, বঙ্গবন্ধু সড়ক, যুগশিখা স্কুলের পার্শ্বে, গোপালগঞ্জ।",01958-587413,01958-587414
ঢাকা বিভাগ,রাজবাড়ী অফিস,rajbari,"সজ্জন কান্দা, লাইফকেয়ার হাসপাতালের বিপরীতে, রাজবাড়ী।",01958-587405,01958-587406
ঢাকা বিভাগ,মাদারীপুর অফিস,madaripur,"পানিছত্র, ইসলামি ব্যাংক এ.আর হাওলাদার কমিউনিটি হাসপাতালারের পূর্ব পার্শ্বে, মাদারীপুর।",01733-384910,01733-384911
ঢাকা বিভাগ,শরীয়তপুর অফিস,shoriatpur,"হোল্ডিং-৬১৪, ওয়ার্ড নং-৪, শরীয়তপুর সদর হাসপাতাল রোড, শরীয়তপুর।",01958-587480,01958-587481
ঢাকা বিভাগ,শ্রীনগর অফিস,srinagar,"কামারগাঁও সুপার মার্কেট, ভাগ্যকূল রোড, শ্রীনগর।",01958-58754 3,01958-58754 4
ময়মনসিংহ বিভাগ,ময়মনসিংহ অফিস,mymensingh,"ধোপাখোলা মোড়, ময়মনসিংহ।",01733-384846,01733-384847
ময়মনসিংহ বিভাগ,ভালুকা অফিস,valuka,"নতুন বাসস্ট্যান্ড, ব্রাক ব্যাংকের নীচে, ঢাকা ময়মনসিংহ হাইওয়ে রোড, ভালুকা।",01733-385125,01733-385126
ময়মনসিংহ বিভাগ,নেত্রকোনা অফিস,netrokona,"১২৩, অজহর রোেড, নেত্রকোনা সদর পৌরসভা, নেত্রকোনা।",01733-385178,01733-385179
ময়মনসিংহ বিভাগ,জামালপুর অফিস,jamalpur,"মাল গুদাম রোড, রেলস্টেশনের উত্তর পাশে, জামালপুর।",01733-385113,01733-385114
ময়মনসিংহ বিভাগ,শেরপুর অফিস,sherpur,"শেরপুর সদর কলেজ রোড, নতুন বাসস্ট্যান্ড সংলগ্ন, শেরপুর।",01733-385080,01733-385081
ময়মনসিংহ বিভাগ,ত্রিশাল অফিস,trishal,"দোকান নং-৩, ৪, হিরো মার্কেট, ঢাকা-ময়মনসিংহ রোড, ত্রীশাল।",01958-587572,01958-587573
চট্টগ্রাম শহর,এ.কে.খান অফিস,a k khan,"এ.কে. খান মোড়, জাকির হোসেন রোড, পাহাড়তলী, চট্টগ্রাম",01733-385010,01733-384841
চট্টগ্রাম শহর,খাতুনগঞ্জ অফিস (আন্ধার কিল্লা),khatunganj andhar killa,"কোরবানীগঞ্জ রোড, হামিদুল্লাহ খান মসজিদ এর পশ্চিম গেইট এর সামনে, খাতুনগঞ্জ, চট্টগ্রাম।",01733-385103,01733-385071
চট্টগ্রাম শহর,কদমতলী অফিস,kodomtoli,"আশরাফ মার্কেট ডিটি রোড, কদমতলী, চট্টগ্রাম।",01733-384840,01733-385101
